"p","U:0","U:1","U:2","adjSource","adjnuTilda","checkRNS:0","checkRNS:1","checkRNS:2","dStar:0","dStar:1","dStar:2","nuTilda","nut","pNutpNuTilda","pNutpNuTildaFD","pRNSpNut:0","pRNSpNut:1","pRNSpNut:2","pRNSpNutFD:0","pRNSpNutFD:1","pRNSpNutFD:2","adjSensField","fdSensField","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.2327e-05,0.29996,-9.9893e-06,-4.2753e-06,0,-1.6234,10,10,10,1,1,0,5.6656e-06,1.1052e-07,10,10,10,10,10,10,10,10,-4.5169e-06,-4.514e-06,1,0.9,0.9,0.75,1
3.9895e-05,0.31996,-1.0655e-05,-4.5604e-06,0,-1.7316,10,10,10,1,1,0,6.0433e-06,1.1789e-07,10,10,10,10,10,10,10,10,-4.0652e-06,-4.0626e-06,1,0.91,0.91,0.75,1
3.7463e-05,0.33996,-1.1321e-05,-4.8454e-06,0,-1.8398,10,10,10,1,1,0,6.421e-06,1.2526e-07,10,10,10,10,10,10,10,10,-3.6135e-06,-3.6112e-06,1,0.92,0.92,0.75,1
3.5031e-05,0.35995,-1.1987e-05,-5.1304e-06,0,-1.9481,10,10,10,1,1,0,6.7987e-06,1.3263e-07,10,10,10,10,10,10,10,10,-3.1619e-06,-3.1598e-06,1,0.93,0.93,0.75,1
3.2599e-05,0.37995,-1.2653e-05,-5.4154e-06,0,-2.0563,10,10,10,1,1,0,7.1764e-06,1.4e-07,10,10,10,10,10,10,10,10,-2.7102e-06,-2.7084e-06,1,0.94,0.94,0.75,1
3.0166e-05,0.39995,-1.3319e-05,-5.7004e-06,0,-2.1645,10,10,10,1,1,0,7.5541e-06,1.4737e-07,10,10,10,10,10,10,10,10,-2.2585e-06,-2.257e-06,1,0.95,0.95,0.75,1
2.7734e-05,0.41995,-1.3985e-05,-5.9855e-06,0,-2.2727,10,10,10,1,1,0,7.9318e-06,1.5473e-07,10,10,10,10,10,10,10,10,-1.8068e-06,-1.8056e-06,1,0.96,0.96,0.75,1
2.5302e-05,0.43994,-1.4651e-05,-6.2705e-06,0,-2.381,10,10,10,1,1,0,8.3095e-06,1.621e-07,10,10,10,10,10,10,10,10,-1.3551e-06,-1.3542e-06,1,0.97,0.97,0.75,1
2.287e-05,0.45994,-1.5317e-05,-6.5555e-06,0,-2.4892,10,10,10,1,1,0,8.6872e-06,1.6947e-07,10,10,10,10,10,10,10,10,-9.0339e-07,-9.0281e-07,1,0.98,0.98,0.75,1
2.0438e-05,0.47994,-1.5983e-05,-6.8405e-06,0,-2.5974,10,10,10,1,1,0,9.0649e-06,1.7684e-07,10,10,10,10,10,10,10,10,-4.5169e-07,-4.514e-07,1,0.99,0.99,0.75,1
1.8006e-05,0.49994,-1.6649e-05,-7.1255e-06,0,-2.7056,10,10,10,1,1,0,9.4426e-06,1.8421e-07,10,10,10,10,10,10,10,10,0,0,1,1,1,0.75,1
